id,instansi,jenis_pengadaan,tanggal,nilai_kontrak,harga_pasar,hps,spesifikasi_score,vendor_reliability,price_markup_ratio,price_risk,spec_risk,vendor_risk,probability_risk,impact_score,estimated_loss,risk_level,value_bucket
PCKT-100092,Pemkab X,Jasa Konsultan,2024-11-01,50000000,45044035,51987198,0.877,0.74,0.11002489008811045,0.16141541323872066,0.123,0.26,0.17645770661936033,0.0,0.0,Rendah,Kecil
PCKT-100913,Pemkab X,Jasa Konsultan,2024-11-01,50000000,44039440,43685492,0.717,0.556,0.1353459535361939,0.19471056987748003,0.28300000000000003,0.44399999999999995,0.27910528493874,0.0,0.0,Rendah,Kecil
PCKT-100915,Kemenkes,Barang-NonIT,2024-11-01,50000000,51843613,56480907,0.761,0.848,0.0,0.0,0.239,0.15200000000000002,0.09775,0.0,0.0,Rendah,Kecil
PCKT-100161,Kemendikbud,Konstruksi,2024-11-02,50000000,52564768,54294865,1.0,0.732,0.0,0.0,0.0,0.268,0.067,0.0,0.0,Rendah,Kecil
PCKT-100874,Pemkab X,Barang-IT,2024-11-02,50000000,43355929,48117506,0.796,0.506,0.1532448076478767,0.21744548576198874,0.20399999999999996,0.494,0.28322274288099436,0.0,0.0,Rendah,Kecil
PCKT-100366,Pemprov Jabar,Barang-NonIT,2024-11-03,50000000,52117722,53014887,0.677,0.407,0.0,0.0,0.32299999999999995,0.593,0.22899999999999998,0.0,0.0,Rendah,Kecil
PCKT-100559,Pemkab X,Alkes,2024-11-03,50000000,44566755,51625418,0.724,0.723,0.12191251079420075,0.17721472475248745,0.276,0.277,0.22685736237624374,0.0,0.0,Rendah,Kecil
PCKT-100659,Kemendikbud,Konstruksi,2024-11-03,50000000,40525056,47949100,0.765,0.216,0.23380458746312405,0.3120831734099493,0.235,0.784,0.4107915867049746,0.0,0.0,Rendah,Kecil
PCKT-100684,Pemprov Jabar,Konstruksi,2024-11-03,50000000,41622625,41236018,0.913,0.602,0.2012697421174181,0.27532470063138825,0.08699999999999997,0.398,0.25891235031569415,0.0,0.0,Rendah,Kecil
PCKT-101185,Kemenkeu,Barang-IT,2024-11-04,50000000,43055613,42308181,0.729,0.764,0.16128877319665616,0.22745269598538842,0.271,0.236,0.2404763479926942,0.0,0.0,Rendah,Kecil
PCKT-100452,Pemprov Jabar,Jasa Konsultan,2024-11-04,50000000,48656641,47138427,0.668,0.642,0.027608954757070057,0.043212851484369263,0.33199999999999996,0.358,0.19410642574218462,0.0,0.0,Rendah,Kecil
PCKT-100384,Pemprov Jabar,Barang-NonIT,2024-11-05,50000000,37409406,40289941,1.0,0.552,0.336562253888768,0.41637673950980836,0.0,0.44799999999999995,0.32018836975490417,0.0,0.0,Rendah,Kecil
PCKT-100245,Kementerian Y,Konstruksi,2024-11-06,50000000,42619539,50118258,0.701,0.476,0.17317083134099598,0.24200108909803542,0.29900000000000004,0.524,0.32675054454901775,0.0,0.0,Rendah,Kecil
PCKT-100309,Kemenkeu,Barang-IT,2024-11-06,50000000,45248684,36392159,0.892,0.48,0.10500451239642682,0.1546522686079057,0.10799999999999998,0.52,0.23432613430395285,0.0,0.0,Rendah,Kecil
PCKT-100751,Kementerian Y,Barang-NonIT,2024-11-07,50000000,44620332,46337862,0.769,0.459,0.12056539606204633,0.1754393943156628,0.23099999999999998,0.5409999999999999,0.2807196971578314,0.0,0.0,Rendah,Kecil
PCKT-100237,Pemprov Sumut,Konstruksi,2024-11-07,50000000,39435021,43688227,0.885,0.238,0.26790854251098284,0.3486145142533452,0.11499999999999999,0.762,0.3935572571266726,0.0,0.0,Rendah,Kecil
PCKT-100470,Pemprov Sumut,Barang-NonIT,2024-11-07,50000000,52795644,63837689,0.761,0.267,0.0,0.0,0.239,0.733,0.243,0.0,0.0,Rendah,Kecil
PCKT-100011,Pemprov Sumut,Alkes,2024-11-07,50000000,40805412,36437886,0.822,0.328,0.22532765996824147,0.3026893390340897,0.17800000000000005,0.6719999999999999,0.36384466951704486,0.0,0.0,Rendah,Kecil
PCKT-100936,BPK,Alkes,2024-11-08,50000000,42721936,52472796,0.666,0.94,0.1703589462799626,0.23858315689511955,0.33399999999999996,0.06000000000000005,0.21779157844755978,0.0,0.0,Rendah,Kecil
PCKT-100662,Kemenkes,Barang-NonIT,2024-11-08,50000000,35235779,31748380,0.929,0.765,0.4190121921243745,0.4885060427273761,0.07099999999999995,0.235,0.320753021363688,0.0,0.0,Rendah,Kecil
PCKT-100900,Pemprov Jabar,Barang-NonIT,2024-11-09,50000000,39842318,38412509,0.903,0.467,0.25494706407393264,0.3349647967559384,0.09699999999999998,0.5329999999999999,0.32498239837796916,0.0,0.0,Rendah,Kecil
PCKT-100173,Kemenag,Jasa Konsultan,2024-11-09,50000000,42627532,45642480,0.686,0.28,0.172950852514755,0.24173425220487732,0.31399999999999995,0.72,0.3793671261024386,0.0,0.0,Rendah,Kecil
PCKT-101029,Kemenag,Jasa Konsultan,2024-11-09,50000000,44954300,44341378,0.887,0.671,0.11224065328567011,0.16438311733140976,0.11299999999999999,0.32899999999999996,0.19269155866570487,0.0,0.0,Rendah,Kecil
PCKT-101080,Pemkab X,Jasa Konsultan,2024-11-10,50000000,41149353,40788893,0.788,0.428,0.21508593342889254,0.29116853835964296,0.21199999999999997,0.5720000000000001,0.3415842691798215,0.0,0.0,Rendah,Kecil
PCKT-100248,Pemprov Jateng,Alkes,2024-11-10,50000000,50355099,47835815,0.598,0.447,0.0,0.0,0.402,0.5529999999999999,0.23875,0.0,0.0,Rendah,Kecil
PCKT-100558,Kemenhub,Jasa Konsultan,2024-11-10,50000000,39312987,46733874,0.774,0.656,0.27184433988696916,0.352703579810563,0.22599999999999998,0.344,0.3188517899052815,0.0,0.0,Rendah,Kecil
PCKT-100214,Kemenkes,Barang-NonIT,2024-11-10,50000000,48232783,52060803,0.923,0.549,0.03663933304449797,0.05693770008288179,0.07699999999999996,0.45099999999999996,0.16046885004144087,0.0,0.0,Rendah,Kecil
PCKT-100708,Pemprov Jateng,Alkes,2024-11-11,50000000,43665809,45750682,0.651,0.755,0.14506065832880824,0.207130831017599,0.349,0.245,0.25206541550879946,0.0,0.0,Rendah,Kecil
PCKT-100257,Kemenkeu,Barang-NonIT,2024-11-11,50000000,42374578,51747008,0.834,0.562,0.17995275374777775,0.2501817281381963,0.16600000000000004,0.43799999999999994,0.2760908640690981,0.0,0.0,Rendah,Kecil
PCKT-100089,BPK,Barang-NonIT,2024-11-12,50000000,36069307,35353351,0.799,0.931,0.38622014556586853,0.4609528488223341,0.20099999999999996,0.06899999999999995,0.297976424411167,0.0,0.0,Rendah,Kecil
PCKT-100341,BPK,Konstruksi,2024-11-12,50000000,47485946,51009235,0.918,0.464,0.05294311710669089,0.08122037802620141,0.08199999999999996,0.536,0.1951101890131007,0.0,0.0,Rendah,Kecil
PCKT-100056,Kemenkeu,Konstruksi,2024-11-13,50000000,35562452,39025397,0.901,0.533,0.40597729312928144,0.47772638878473805,0.09899999999999998,0.46699999999999997,0.380363194392369,0.0,0.0,Rendah,Kecil
PCKT-100312,BPK,Konstruksi,2024-11-13,50000000,40892502,38146191,0.929,0.721,0.22271804253992578,0.2997717096696424,0.07099999999999995,0.279,0.2373858548348212,0.0,0.0,Rendah,Kecil
PCKT-101115,Kemenhub,Alkes,2024-11-13,50000000,40495277,40387819,0.793,0.377,0.23471188998163908,0.31308108677812085,0.20699999999999996,0.623,0.36404054338906044,0.0,0.0,Rendah,Kecil
PCKT-100314,Pemkab X,Jasa Konsultan,2024-11-13,50000000,43140072,40358062,0.834,0.35,0.15901521907520227,0.22463729334249494,0.16600000000000004,0.65,0.3163186466712475,0.0,0.0,Rendah,Kecil
PCKT-101031,Pemkab X,Barang-NonIT,2024-11-13,50000000,39921052,44875775,0.764,0.792,0.25247200399428354,0.3323259718714411,0.236,0.20799999999999996,0.27716298593572053,0.0,0.0,Rendah,Kecil
PCKT-100509,Pemkab X,Alkes,2024-11-13,50000000,42479536,48906239,0.858,0.835,0.17703733863759716,0.24667590732529254,0.14200000000000002,0.16500000000000004,0.20008795366264628,0.0,0.0,Rendah,Kecil
PCKT-100579,Pemkab X,Barang-NonIT,2024-11-13,50000000,45779377,52910055,0.673,0.915,0.09219485446470799,0.1371477150450472,0.32699999999999996,0.08499999999999996,0.17157385752252358,0.0,0.0,Rendah,Kecil
PCKT-100042,Kemenag,Barang-IT,2024-11-16,50000000,47369901,46112728,1.0,0.817,0.055522577511825495,0.08500449292472834,0.0,0.18300000000000005,0.08825224646236418,0.0,0.0,Rendah,Kecil
PCKT-100356,Kemenkeu,Alkes,2024-11-16,50000000,44970841,52605745,0.68,0.556,0.11183155325024942,0.16383597684871565,0.31999999999999995,0.44399999999999995,0.27291798842435777,0.0,0.0,Rendah,Kecil
PCKT-100083,Kemenhub,Alkes,2024-11-16,50000000,51786209,58450878,0.891,0.382,0.0,0.0,0.10899999999999999,0.618,0.18175,0.0,0.0,Rendah,Kecil
PCKT-100970,Kominfo,Barang-NonIT,2024-11-16,50000000,39068389,40043857,0.792,0.875,0.2798070583355766,0.3608980513881733,0.20799999999999996,0.125,0.26369902569408665,0.0,0.0,Rendah,Kecil
PCKT-101043,Pemkab X,Alkes,2024-11-16,50000000,40774747,41180907,0.814,0.89,0.226249178198457,0.30371671662814836,0.18600000000000005,0.10999999999999999,0.2258583583140742,0.0,0.0,Rendah,Kecil
PCKT-100960,Kominfo,Barang-NonIT,2024-11-17,50000000,39527516,47392085,0.737,0.763,0.26494161687266155,0.3455149835352753,0.263,0.237,0.29775749176763766,0.0,0.0,Rendah,Kecil
PCKT-100256,Pemprov Jateng,Barang-NonIT,2024-11-17,59958295,52438733,53795748,0.837,0.605,0.14339709542562745,0.2050176395450961,0.16300000000000003,0.395,0.24200881977254807,0.19751100353236956,2865970.81723806,Rendah,Kecil
PCKT-100321,Kemendikbud,Barang-IT,2024-11-17,50000000,40717023,47116156,0.876,0.235,0.22798761589225225,0.30565073780956875,0.124,0.765,0.3750753689047844,0.0,0.0,Rendah,Kecil
PCKT-100281,Kemenkes,Jasa Konsultan,2024-11-17,50000000,42794713,45208188,0.753,0.579,0.16836862534864996,0.23615454977299188,0.247,0.42100000000000004,0.2850772748864959,0.0,0.0,Rendah,Kecil
PCKT-100502,Kemendikbud,Barang-IT,2024-11-17,50000000,43408535,40036943,0.86,0.722,0.15184721161402936,0.21569361563000244,0.14,0.278,0.21234680781500123,0.0,0.0,Rendah,Kecil
PCKT-100828,Kemenhub,Jasa Konsultan,2024-11-17,50000000,34509936,37893372,0.878,0.77,0.4488580911885783,0.5123576084205819,0.122,0.22999999999999998,0.3441788042102909,0.0,0.0,Rendah,Kecil
PCKT-100755,Kominfo,Barang-IT,2024-11-17,50000000,39600521,42941984,0.6,0.348,0.26260965101949035,0.34306844343949383,0.4,0.652,0.434534221719747,0.0,0.0,Rendah,Kecil
PCKT-100512,Kemenkes,Jasa Konsultan,2024-11-17,50000000,46258681,40555881,0.794,0.774,0.08087820316363971,0.1213820567149102,0.20599999999999996,0.22599999999999998,0.1686910283574551,0.0,0.0,Rendah,Kecil
PCKT-100230,Kemenhub,Alkes,2024-11-17,50000000,41803921,44365939,0.619,0.459,0.1960600537925617,0.26925892319026845,0.381,0.5409999999999999,0.3651294615951342,0.0,0.0,Rendah,Kecil
PCKT-100872,Kemenhub,Barang-IT,2024-11-18,50000000,50020360,47922587,0.772,0.79,0.0,0.0,0.22799999999999998,0.20999999999999996,0.10949999999999999,0.0,0.0,Rendah,Kecil
PCKT-101048,Pemprov Sumut,Jasa Konsultan,2024-11-18,50000000,39333771,43260055,0.897,0.097,0.2711722961930093,0.3520071871089041,0.10299999999999998,0.903,0.42750359355445205,0.0,0.0,Rendah,Kecil
PCKT-100601,Kemenkeu,Jasa Konsultan,2024-11-18,50000000,51002083,62202846,0.817,0.28,0.0,0.0,0.18300000000000005,0.72,0.22575,0.0,0.0,Rendah,Kecil
